idx,sport,name_away,odd_away,odd_home,name_home,etl_dttm
399505,太平洋聯盟,Chiba Lotte Marines,1.90,1.60,Tohoku Rakuten Golden Eagles,2023-10-10 05:31:07
399541,韓國職棒,Lotte Giants,1.70,1.80,LG Twins,2023-10-10 05:31:07
399542,韓國職棒,Hanwha Eagles,3.50,1.15,NC Dinos,2023-10-10 05:31:07
399543,韓國職棒,Doosan Bears,1.60,1.90,KT Wiz,2023-10-10 05:31:07
399544,韓國職棒,SSG Landers,1.65,1.85,Kia Tigers,2023-10-10 05:31:07
399545,韓國職棒,Samsung Lions,1.60,1.90,Kiwoom Heroes,2023-10-10 05:31:07
399520,美國職棒季後賽,Houston Astros,1.90,1.60,Minnesota Twins,2023-10-10 05:31:07
399540,美國職棒季後賽,Baltimore Orioles,1.95,1.55,Texas Rangers,2023-10-10 05:31:07
